Date,Metro,Bus,Taxi,Uber
1/1/11,21.08,,,
2/1/11,21.23,,,
3/1/11,26.17,,,
4/1/11,25.66,,,
5/1/11,24.34,,,
6/1/11,26.56,,,
7/1/11,25.70,,,
8/1/11,24.34,,,
9/1/11,23.79,,,
10/1/11,24.41,,,
11/1/11,22.65,,,
12/1/11,21.69,,,
1/1/12,21.80,,,
2/1/12,21.93,,,
3/1/12,25.95,,,
4/1/12,25.07,,,
5/1/12,25.16,,,
6/1/12,25.71,,,
7/1/12,25.00,,,
8/1/12,23.81,,,
9/1/12,21.72,,,
10/1/12,22.70,,,
11/1/12,21.16,,,
12/1/12,19.12,,,
1/1/13,22.64,,,
2/1/13,20.54,,,
3/1/13,23.38,,,
4/1/13,25.79,,,
5/1/13,24.18,,,
6/1/13,23.46,,,
7/1/13,25.43,3.07,,
8/1/13,23.53,3.09,,
9/1/13,22.14,3.25,,
10/1/13,22.57,3.25,,
11/1/13,20.54,3.07,,
12/1/13,19.21,2.83,,
1/1/14,19.95,2.89,,
2/1/14,18.89,3.13,,
3/1/14,21.97,3.08,,
4/1/14,25.55,3.17,,
5/1/14,23.69,3.21,,
6/1/14,23.94,3.13,,
7/1/14,25.36,3.13,,
8/1/14,23.13,3.12,,
9/1/14,22.92,3.33,,
10/1/14,24.58,3.24,,
11/1/14,20.07,3.13,,
12/1/14,20.47,2.84,,
1/1/15,19.92,2.83,,
2/1/15,18.35,3.15,,
3/1/15,22.57,3.12,,
4/1/15,25.05,3.10,,
5/1/15,22.61,3.15,1.40,
6/1/15,24.21,3.13,1.47,
7/1/15,24.79,3.18,1.40,
8/1/15,21.16,3.03,1.13,
9/1/15,20.95,3.20,1.31,
10/1/15,22.32,3.15,1.49,
11/1/15,18.88,2.95,0.99,
12/1/15,19.19,2.76,1.08,
1/1/16,16.75,2.78,0.92,4.34
2/1/16,19.24,2.93,1.19,4.11
3/1/16,22.41,3.00,1.40,4.73
4/1/16,21.98,3.02,1.37,4.58
5/1/16,20.45,3.07,1.32,4.92
6/1/16,21.07,2.98,1.28,5.00
7/1/16,19.41,3.08,1.11,5.25
8/1/16,19.27,3.00,0.95,5.36
9/1/16,19.06,3.14,1.20,5.29
10/1/16,19.31,3.09,1.03,5.61
11/1/16,17.08,2.95,1.01,5.22
12/1/16,16.53,2.73,0.90,5.39
1/1/17,18.35,2.53,0.90,5.39
2/1/17,16.92,2.88,0.95,4.86
3/1/17,20.27,2.96,1.24,5.54
4/1/17,19.84,2.95,1.19,5.26
5/1/17,19.98,2.94,1.19,5.51
6/1/17,21.03,2.93,1.18,5.37
7/1/17,19.52,2.85,0.99,5.59
8/1/17,19.65,2.85,,5.69
9/1/17,18.56,2.96,,5.65
10/1/17,20.25,2.95,,5.92
11/1/17,17.93,2.85,,5.69
12/1/17,15.91,2.58,,6.03
1/1/18,,2.78,,5.99
2/1/18,,2.82,,5.60
3/1/18,,2.80,,6.48
4/1/18,,2.75,,
5/1/18,,2.79,,
6/1/18,,2.70,,