ASIN,date,author,title,rating,body,helpful
B016OP6N3M,06 Apr 2018,Fuzzyx,High quality!!,5.0 ,"These bamboo set has very high quality! They have appropriate sizes for me to deal with the raws. I used the smallest one for spices, medium for meat, and the largest for vegs and fruits! Also they have beautiful bamboo smell when I firstly opened the pack, felt natural and healthy :)",
B016OP6N3M,06 Apr 2018,Ebony Savage,Five Stars,5.0 ,Great price and quality,
B016OP6N3M,05 Apr 2018,WEN,"Good quality, but the size is relatively small",5.0 ,"Good quality, but the size is relatively small, is a natural bamboo products! Very environmentally friendly, the overall shape is great!",
B016OP6N3M,05 Apr 2018,Shanshan Huang,Useful,5.0 ,These set of 3 cutting boards are good quality and very useful. I'm happy with my purchase.,
B016OP6N3M,05 Apr 2018,Melissa,good quality! I like the idea of three different ...,5.0 ,"good quality! I like the idea of three different size cutting boards in a combos, so I can separate it for different use. I use the big one for raw meat and vegetables. The medium one for cooked meat, and the small one for fruits or salads.",2 people found this helpful.
B016OP6N3M,05 Apr 2018,Ycarolina,I like this set bamboo board,5.0 ,"I like this set bamboo board. It is perfect for use small board for cheese, medium vegetables. It is real bamboo. They are thin and no heavy. They are practical.",
B016OP6N3M,05 Apr 2018,jimmy L,Five Stars,5.0 ,Very useful,
B016OP6N3M,04 Apr 2018,Abby M,Poor quality,1.0 ,All of the boards warped and split after the first use.,
B016OP6N3M,04 Apr 2018,martin j,Three Stars,3.0 ,Might be ok for a clild--Thought it would be bigger !,
B016OP6N3M,04 Apr 2018,Jessica Langlois,"Nice quality, smaller than I thought (but that's on ...",4.0 ,"Nice quality, smaller than I thought (but that's on me as the sizes were listed). Thin, light. I don't expect they will last more than a year or two (we cook a lot), but they were cheap enough and I good gift for my husband.Not a bad idea to oil them and make sure they don't soak in water.",
B016OP6N3M,06 Apr 2018,Fuzzyx,High quality!!,5.0 ,"These bamboo set has very high quality! They have appropriate sizes for me to deal with the raws. I used the smallest one for spices, medium for meat, and the largest for vegs and fruits! Also they have beautiful bamboo smell when I firstly opened the pack, felt natural and healthy :)",
B016OP6N3M,06 Apr 2018,Ebony Savage,Five Stars,5.0 ,Great price and quality,
B016OP6N3M,05 Apr 2018,WEN,"Good quality, but the size is relatively small",5.0 ,"Good quality, but the size is relatively small, is a natural bamboo products! Very environmentally friendly, the overall shape is great!",
B016OP6N3M,05 Apr 2018,Shanshan Huang,Useful,5.0 ,These set of 3 cutting boards are good quality and very useful. I'm happy with my purchase.,
B016OP6N3M,05 Apr 2018,Melissa,good quality! I like the idea of three different ...,5.0 ,"good quality! I like the idea of three different size cutting boards in a combos, so I can separate it for different use. I use the big one for raw meat and vegetables. The medium one for cooked meat, and the small one for fruits or salads.",2 people found this helpful.
B016OP6N3M,05 Apr 2018,Ycarolina,I like this set bamboo board,5.0 ,"I like this set bamboo board. It is perfect for use small board for cheese, medium vegetables. It is real bamboo. They are thin and no heavy. They are practical.",
B016OP6N3M,05 Apr 2018,jimmy L,Five Stars,5.0 ,Very useful,
B016OP6N3M,04 Apr 2018,Abby M,Poor quality,1.0 ,All of the boards warped and split after the first use.,
B016OP6N3M,04 Apr 2018,martin j,Three Stars,3.0 ,Might be ok for a clild--Thought it would be bigger !,
B016OP6N3M,04 Apr 2018,Jessica Langlois,"Nice quality, smaller than I thought (but that's on ...",4.0 ,"Nice quality, smaller than I thought (but that's on me as the sizes were listed). Thin, light. I don't expect they will last more than a year or two (we cook a lot), but they were cheap enough and I good gift for my husband.Not a bad idea to oil them and make sure they don't soak in water.",
B0723FXC74,06 Apr 2018,Just Lisa,I love my new cutting boards,5.0 ,I love my new cutting boards. The set of 3 is perfect for all my needs. I love the groove that catches any liquids and the color is neutral so it would match any decor. I highly recommend and would purchase again.,
B0723FXC74,05 Apr 2018,jjjacob,Three Stars,3.0 ,Smaller boards than anticipated.,
B0723FXC74,04 Apr 2018,Ellie,Four Stars,4.0 ,"Smaller than I thought they'd be, but quality is what I expected.",
B0723FXC74,02 Apr 2018,J. Gold,Nice looking cutting boards,5.0 ,They arrived ahead of schedule and are as advertised. So far they work great!,
B0723FXC74,01 Apr 2018,Margarita,Four Stars,4.0 ,Basic cutting boards. Does the job.,
B0723FXC74,30 Mar 2018,Kathy E.,Five Stars,5.0 ,"Love my new cutting boards. They got here in a timely manner, thank you.",
B0723FXC74,29 Mar 2018,M. Powell,Two Stars,2.0 ,"Not holding up as I'd like, but okay",
B0723FXC74,29 Mar 2018,L. Verni,Too small to be useful,1.0 ,"I was excited about these cutting boards, as I have similar ones with the rubber that prevents them from sliding, but these have a small channel to catch juices as you cut. However, they are SO SMALL, it's ridiculous! I have no idea who could actually cook dinner using the small or medium one. The ""large"" is one I'd pull out if I was just slicing cheese. I could never use these to cut up chicken or anything larger that I don't want to go off the edge of the board onto the counter. Wish I wasn't so lazy or I'd return them.",One person found this helpful.
B0723FXC74,29 Mar 2018,Brandon,They are fine for the price,3.0 ,They are fine for the price. Have gone through one dishwasher cycle so far. They do slide around quite a bit. If you have the grooved side up there is no grip at all and it will slide all over on you.,
B0723FXC74,29 Mar 2018,Jessica Froelich,Nice Buy,5.0 ,Works great. Love the three different sizes. Easy to clean.,
B01HN7ZGUQ,06 Apr 2018,sherry PB,Four Stars,4.0 ,I really like the different colors no complaint,
B01HN7ZGUQ,05 Apr 2018,Joscel,they do what they do,4.0 ,"They do what they do, you can cut on them and they are flexible.",
B01HN7ZGUQ,04 Apr 2018,Libby S.,Five Stars,5.0 ,i use them all the time to cut my vegetables and meat,
B01HN7ZGUQ,04 Apr 2018,Christina Tractenberg,Sooo great! They're durable but flexible,5.0 ,"Sooo great! They're durable but flexible, easy to wash, easy to use, and the handles are easy to hold and don't get hot if you leave them in the pot for a short time. I haven't tried leaving them longer because that's not how I cook but I would also not recommend trying it because if it does burn or melt, you'd probably be upset.",
B01HN7ZGUQ,03 Apr 2018,Dave In Arizona,Five Stars,5.0 ,Very good product,
B01HN7ZGUQ,03 Apr 2018,Michelle V.,Five Stars,5.0 ,These are really large and work great. Clean up easy.,
B01HN7ZGUQ,02 Apr 2018,Sunlover,Perfect for rolling out cookies on,5.0 ,I use these for rolling out sugar cookies. I put the dough on these handy boards and put some wax paper on top of the dough to roll out. They are essential for my cookie baking.,
B01HN7ZGUQ,02 Apr 2018,real_reviewer,I like that there is no printing on these sheets.,5.0 ,"What can you really say about plastic sheets that cost about two bucks each? First, I wash them by hand and they lay flat, no curl. No problem sliding while cutting with the knife blade vertical, can't really think of a situation when the knife would be at a steep enough angle to cause the sheet to slide across the counter. Yes, the knife marks the plastic, but no through cuts yet. Really, come on, two bucks each...would it really be awful if they only lasted a few months? Biggest improvement would be an option to buy smaller sheets....I may order more and then cut them to my preferred size. Best aspect may be that there is no printing on these sheets...now my wife can't squawk that I am cutting veggies on the chicken sheet!",
B01HN7ZGUQ,31 Mar 2018,M Cummings,Five Stars,5.0 ,These are great - light and flexible. I use them several times a day. Thanks.,
B01HN7ZGUQ,29 Mar 2018,Twain Mark,colorful and practical,5.0 ,"Great colors, this is our second time buying them. Note, don't let anyone take a heavy mallet and slam a knife threw a butternut squash, it will cut the plastic cutting board...short of doing that, these will last a long time and are easy to clean. Also handy when done cutting veggies, can just pick it up and dump cuttings into your compost can.",
B01HN7ZGUQ,27 Mar 2018,Lowanne Brokaw,Five Stars,5.0 ,As expected.,
B01HN7ZGUQ,27 Mar 2018,Swaswoopa,Handy,5.0 ,"Love them, they work like they're supposed to.",
B01HN7ZGUQ,27 Mar 2018,Cathy Ayers,Five Stars,5.0 ,Sturdy for cutting but flexible to slide cut items into bowl or pan. Easy to clean.,
B01HN7ZGUQ,26 Mar 2018,Clair,but not easy to cut through,4.0 ,"Very thin, but not easy to cut through, better than cutting the counter.",
B01HN7ZGUQ,26 Mar 2018,Joe G,Five Stars,5.0 ,Works as expected.,
B01HN7ZGUQ,25 Mar 2018,Amazon Customer,I like these cutting boards for a number of reasons including ...,5.0 ,"I like these cutting boards for a number of reasons including the cheap price point and ease of cleaning by hand or in the dishwasher and storage is easy. Eventually it will break down but it's so cheap I look at it as disposable. 3 mats should last 6 months or more. I always feel bad discarding an expensive wood cutting board but don't feel bad discarding these. Great for cutting veg and color code red for beef. Blue for fish, green for veg. Easy. Recommend.",
B01HN7ZGUQ,25 Mar 2018,Terri,Very thin But durable,5.0 ,Very convenient super durable and extra fexlible easy for storage and clean up! I love the colors! It also helps when making stew or chopping mutiple veggies or fruits easy transfer to pot or bags.,
B01HN7ZGUQ,25 Mar 2018,buggymeister,Great replacements for the cutting boards I need to throw out.Great replacements for the cutting boards I need to throw out.,5.0 ,Great replacements for the cutting boards I need to throw out.Great replacements for the cutting boards I need to throw out. They are flexible yet strong and fit in my dishwasher.,
B01HN7ZGUQ,25 Mar 2018,Lauren,Five Stars,5.0 ,Good quality. Does what I was hoping it would.,
B01HN7ZGUQ,24 Mar 2018,Jenny Melchor,Use as placemats..,4.0 ,Very thin/flimsy - which I guess is just part of the design and I just didn't understand. Ended up using them for my cats placemats when they eat :) LOL,
B01HN7ZGUQ,24 Mar 2018,Marsha Brell,Five Stars,5.0 ,Perfect for everyday use!,
B01HN7ZGUQ,24 Mar 2018,Elizabeth Cresci,But they are so thin they it isn’t comfortable cutting on them,3.0 ,Thought these were a genius idea. But they are so thin they it isn’t comfortable cutting on them,One person found this helpful.
B01HN7ZGUQ,22 Mar 2018,PinkDaleksInPrettyDresses,Five Stars,5.0 ,Great price!,
B01HN7ZGUQ,21 Mar 2018,HotNiteReader,Flexible plastic cutting mats,5.0 ,Flexible plastic cutting board mats. I use these to put behind the page in my coloring books. They are holding up very well.,
B01HN7ZGUQ,21 Mar 2018,Kate,Five Stars,5.0 ,I love these,
B01HN7ZGUQ,20 Mar 2018,Amazon Customer,Five Stars,5.0 ,Good,
B01HN7ZGUQ,19 Mar 2018,photogal,Pretty,5.0 ,As advertised. Pretty Blue,
B01HN7ZGUQ,19 Mar 2018,AnnieLW,Affordable but not long lasting,3.0 ,"These cutting boards are great. Flexible mats are my favorite, but you will have to replace them in a year compared to thicker mats as you will start to see knife marks after chopping.",
B01HN7ZGUQ,19 Mar 2018,jan98k,too soft to use!!,1.0 ,way too soft to even scrape the side of a bowl!!,
B01HN7ZGUQ,19 Mar 2018,Medley,Multi use,4.0 ,"Like the multi-size. Have been surprised how much I use them. One silicone spatula slides off the handle sometimes, though",
B01HN7ZGUQ,19 Mar 2018,Jamison,Good mats for stuff,5.0 ,Cool mats,
B01HN7ZGUQ,18 Mar 2018,Lorna Collins,Just What I Wanted,5.0 ,I like all the different styles and sizes. These work well for my needs.,
B01HN7ZGUQ,17 Mar 2018,Becky,great spatulas; just know that the heads slide off,5.0 ,great spatulas; just know that the heads slide off; I had to watch carefully that they don't come off into what I'm making!,
B01HN7ZGUQ,16 Mar 2018,nicole,love,5.0 ,I use these in my kitchen all the time! love them,
B01HN7ZGUQ,16 Mar 2018,Rob,eh,3.0 ,very lightly made. cuts easy,
B01HN7ZGUQ,16 Mar 2018,C. from TX,Five Stars,5.0 ,A good purchase and value.,
B01HN7ZGUQ,15 Mar 2018,david lee,I thought I was getting actual cutting boards but these ...,2.0 ,I thought I was getting actual cutting boards but these are as thin as paper almost. Not what I expected,
B01HN7ZGUQ,15 Mar 2018,Amazon Customer,Five Stars,5.0 ,Very nice,
B01HN7ZGUQ,14 Mar 2018,Robbie,Decscription not 100% accurate,4.0 ,Love the idea but they aren’t “clear.” They are a milky translucent. Fine on white counters but show up on my dark ones. Amazon gave me my money back.,
B01HN7ZGUQ,14 Mar 2018,Amazon Customer,Knife scars them up right away.,2.0 ,"These are just thin cheap little flimsy bits of plastic. They scratch up easily and after the first use they were completely slashed with knife marks from cutting vegetables. I wouldn't expect to get more than a couple uses out of these and definitely not very sanitary to get nicked and cut up so easily. If they weren't so cheap I would return them, honestly.",
B01HN7ZGUQ,14 Mar 2018,abklyngirl,Well worth it,5.0 ,Light and easy to store. Easily bendable to use for pouring into containers. Nice colors.,
B01HN7ZGUQ,13 Mar 2018,Amanda,These were purchased to replace some cutting boards I melted ...,4.0 ,"These were purchased to replace some cutting boards I melted that insert into a bamboo cutting board I received for Christmas 2016. I had to slightly cut them to fit, but they work.",
B01HN7ZGUQ,12 Mar 2018,comfy shoes,Three Stars,3.0 ,Cheap. But works as described..,
B01HN7ZGUQ,11 Mar 2018,FashionableStudent,Not what I was expecting,3.0 ,"These are thin sheets of paper plastic. I was expecting more like a plastic cutting BOARD, not paper. Kind of false advertising but I guess it is extremely flexible.",
B01HN7ZGUQ,10 Mar 2018,ishmeister,Five Stars,5.0 ,Works great. 5/5,
B01HN7ZGUQ,09 Mar 2018,Noelle L Theoharis,"Light weight, and very easy to store.",5.0 ,"These are wonderful! I love these mats, I use them all the time. They are just easier to cook on and clean, they're flat so they fit in cabinets and drawers really simple or if you have a dorm room and don't have cabinets or drawers these are perfect for your meal prepping in your instant pot. (if you don't know what an instant pot is, google it!)",
B01HN7ZGUQ,09 Mar 2018,Robyn,Good product,5.0 ,Handles are clear and seem heavy duty.,
B01HN7ZGUQ,09 Mar 2018,Amazon Customer,Three Stars,3.0 ,They are good,
B01HN7ZGUQ,09 Mar 2018,Lake Tahoe Me,Five Stars,5.0 ,Easy to wash. Good size.,
B01HN7ZGUQ,07 Mar 2018,Mary Wedemeyer,These are very nice and a great gift,5.0 ,These are very nice and a great gift...would purchase again. They work great and a nice addition to the kitchen,
B000CBOTQ8,05 Apr 2018,terri k.,Just what I wanted. Just the right size and ...,5.0 ,Just what I wanted. Just the right size and handy.,
B000CBOTQ8,05 Apr 2018,Taronica C.,Works perfect! We love it,5.0 ,Works perfect! We love it. Have dropped the cutting board a couple of times and it hasn't broken like the wood cutting boards. Will buy again when this one gets old.,
B000CBOTQ8,04 Apr 2018,waystone,Five Stars,5.0 ,As advertised.,
B000CBOTQ8,04 Apr 2018,GD from ND,I love it!,5.0 ,It stays put on my counter top and feels good to cut on. It has become my GOTO cutting board.,
B000CBOTQ8,03 Apr 2018,JR,good product.,5.0 ,Doesn’t fold knife edge...good product.,
B000CBOTQ8,02 Apr 2018,Phil Lim,Great cutting board,4.0 ,"Great cutting board. We bought different coloured ones to use for meats and vegetables. This red one is to remind us it's for (red) meat. The size is good for cutting up a whole chicken too. Will need replacing after 6 months if you hate knife cut lines on the board, if not, it's still good to use for another 6 months. So far it hasn't stain much. We clean it right after using and drip dry then air dry it.",
B000CBOTQ8,02 Apr 2018,Amazon Customer,The board does pick up scratches quite easily. I've used it for about a month now,3.0 ,The board does pick up scratches quite easily. I've used it for about a month now. But the scratches don't impair the effectiveness so it's all ok,
B000CBOTQ8,02 Apr 2018,elkayam david,Five Stars,5.0 ,Everything is fine,
B000CBOTQ8,02 Apr 2018,Joey Z.,Great product! Love the juice catcher,5.0 ,This thing is huge! We use this for cutting meats. Great product! Love the juice catcher!,
B000CBOTQ8,28 Mar 2018,Camille Albert,Good Cuttng Board for poultry and other things,5.0 ,"As usual, OXO products are dependable for the kitchen",
B000AAM0EY,05 Apr 2018,terri k.,Just what I wanted. Just the right size and ...,5.0 ,Just what I wanted. Just the right size and handy.,
B000AAM0EY,05 Apr 2018,Taronica C.,Works perfect! We love it,5.0 ,Works perfect! We love it. Have dropped the cutting board a couple of times and it hasn't broken like the wood cutting boards. Will buy again when this one gets old.,
B000AAM0EY,04 Apr 2018,waystone,Five Stars,5.0 ,As advertised.,
B000AAM0EY,04 Apr 2018,GD from ND,I love it!,5.0 ,It stays put on my counter top and feels good to cut on. It has become my GOTO cutting board.,
B000AAM0EY,03 Apr 2018,JR,good product.,5.0 ,Doesn’t fold knife edge...good product.,
B000AAM0EY,02 Apr 2018,Phil Lim,Great cutting board,4.0 ,"Great cutting board. We bought different coloured ones to use for meats and vegetables. This red one is to remind us it's for (red) meat. The size is good for cutting up a whole chicken too. Will need replacing after 6 months if you hate knife cut lines on the board, if not, it's still good to use for another 6 months. So far it hasn't stain much. We clean it right after using and drip dry then air dry it.",
B000AAM0EY,02 Apr 2018,Amazon Customer,The board does pick up scratches quite easily. I've used it for about a month now,3.0 ,The board does pick up scratches quite easily. I've used it for about a month now. But the scratches don't impair the effectiveness so it's all ok,
B000AAM0EY,02 Apr 2018,elkayam david,Five Stars,5.0 ,Everything is fine,
B000AAM0EY,02 Apr 2018,Joey Z.,Great product! Love the juice catcher,5.0 ,This thing is huge! We use this for cutting meats. Great product! Love the juice catcher!,
B000AAM0EY,28 Mar 2018,Camille Albert,Good Cuttng Board for poultry and other things,5.0 ,"As usual, OXO products are dependable for the kitchen",
B000AAM0EY,26 Mar 2018,Jim,Love the size,5.0 ,"Clean, flat, doesn't move around. Love the size.",
B000AAM0EY,22 Mar 2018,itm,Loved the well on one side of the cutting board,5.0 ,Loved the well on one side of the cutting board. Board does not move around once placed down and easy to pick up because of the indentation on the end! Glad I picked up two!,
B000AAM0EY,22 Mar 2018,Vascodamus,"Babish recommend, Me approved!",5.0 ,"I bought this cutting board because of the recommendation by the youtube channel ""Binging with Babish"" and I am highly satisfied! It is so nice being able to cut on a board that is 1. large enough for the things I'm cutting, and 2. doesn't slide around thanks to the grippy feet. This was an excellent purchase for someone looking to work on knife skills!",
B000AAM0EY,22 Mar 2018,D. Com,Doesn't fit dishwasher,2.0 ,The larger board doesn't fit a Kitchenaid dishwasher. An inch shorter in both dimensions would fit fine.,
B000AAM0EY,21 Mar 2018,Chester,These highly rated cutting boards are a mixed bag. ...,2.0 ,"These highly rated cutting boards are a mixed bag. I have several of this size and one has warped so that it does not lay flat on the counter. It slides around making it a bit dangerous when cutting anything. I put it in the dishwasher as it said that was ok. And of course, my return window is now closed.",
B000AAM0EY,20 Mar 2018,kl,It warps,2.0 ,After 7 months of very light use -- I never used it for chopping. -- it warped. I clean it occaisionally in the dishwasher -- buti t's supposed to be dishwsher safe.,
B000AAM0EY,19 Mar 2018,Rita,Five Stars,5.0 ,Love how it grips the counter!,
B000AAM0EY,19 Mar 2018,shan576,Five Stars,5.0 ,Love that it don't slide around stays put and plenty of cutting space,
B000AAM0EY,19 Mar 2018,Saul S.,Good alternative to wood cutting boards,4.0 ,"I really like that this cutting board is so light. And the channel on the perimeter is nice when slicing slightly wet foods so that the liquids do not spill out onto the counter. However, I have found that the board (probably due to its size) has a slight tendency to warp.",
B000AAM0EY,18 Mar 2018,Thomas L. Ballard,Great cutting board,5.0 ,"I love this little board. It took me awhile to warm up to, as I loved my wooden board. But, my wooded board was big and required a lot of care, etc. So I came back to this board to try it again, and now, it lives on my counter top!! It is the perfect size for the kitchen things I do. It sits right by my sink, and is just the perfect size to do a quick rinse between cutting jobs, and it is just as easy to clean!! Perfect! I use the flat side all the time, but if you flip it, the opposite side has a juice grove around the edge.",
B000AAM0EY,17 Mar 2018,SnapGrab is very handy.,Lives up to it’s name!,5.0 ,This is an amazing cutting board! It’s double sided so you can cut meats on one side and vegetables on the other! It lives up to it’s name!,
B000AAM0EY,16 Mar 2018,Dani C.,Great size for little counter space,5.0 ,We don't have a lot of counter space so this is great! It's the perfect size and one side has the moat for the drippings which I like. I actually bought 2 of these. I love OXO products.,
B000AAM0EY,16 Mar 2018,SRP,Love the fact that it doesn't slip,4.0 ,"Very large, make sure you have the counter space. Love the fact that it doesn't slip, but it's easy to cut into the board if you have a very sharp knife. Cleaning it is also mildly annoying because of how large it is, but this will depend on the size of your sink.",
B000AAM0EY,15 Mar 2018,Adam Henaghan,Five Stars,5.0 ,"It might have become slightly warped from a run in a hot dishwasher, something to be aware of.",
B000AAM0EY,13 Mar 2018,Josh,Five Stars,5.0 ,Perfect size!,
B000AAM0EY,12 Mar 2018,Priya,Five Stars,5.0 ,Great for Chopping!,
B000AAM0EY,11 Mar 2018,phoenixtorrent,Five Stars,5.0 ,We love these cutting boards.,
B000AAM0EY,11 Mar 2018,Stephen J,Four Stars,4.0 ,good simple cutting board,
B000AAM0EY,11 Mar 2018,Amazon Customer,great addition to the kitchen,5.0 ,use this everyday so awesome!!,
B000AAM0EY,10 Mar 2018,SallyJenkins,A great little cutting board!,5.0 ,"I love this little cutting board. I have a narrow space between the fridge and the stove and could never prep anything there with my standard-sized cutting board, but with this one, I can. I can also more easily find a spot to use it when my bigger work counter is covered with ingredients, bowls, utensils, etc. Really handy!",
B000AAM0EY,09 Mar 2018,Mary O.,"Great quality, Convenient size!",5.0 ,I got this for my brother since he downsized & his kitchen counter was smaller. He said the size is perfect & the quality is great.,
B000AAM0EY,09 Mar 2018,Doron Avizov,Nice small cutting board,4.0 ,Nice small cutting board. Cutco recommends using polypropylene cutting boards with their knives and this one fits the bill. My Cutco knife does scratch it up but who cares. It protects the counter and is easy to handle and wash. I put it in the dishwasher too and it didn't warp or discolor at all.,
